"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"EOMES",0.803017967850722,0.413680769957395,0.013,0.016,1
"NFAT5",0.803017967850722,-0.101171128003687,0.013,0.016,1
"IL15",0.803371897154379,-0.25964804906533,0.049,0.055,1
"GAPDH",0.806528933835609,-0.259568763639077,0.585,0.637,1
"EGR3",0.811540098426142,0.711381592261592,0.085,0.093,1
"CD59-CD59-AHS0224-pAbO",0.813463872839138,0.847265893664573,0.013,0.016,1
"MS4A1",0.817651655749529,0.629232848026468,0.013,0.016,1
"CCL20",0.832915823794751,0.101445679877,0.062,0.068,1
"NR4A2",0.867649943752941,-0.131026785284481,0.08,0.087,1
"IL23A",0.869618849763211,-0.594093232575863,0.018,0.016,1
"NR4A1",0.893332488291597,1.28676107006231,0.045,0.048,1
"REL",0.89723438760106,0.27586478920456,0.121,0.129,1
"KLRG1",0.90152261634987,-0.305687202424684,0.138,0.145,1
"SIT1",0.907586808108396,0.616625471624525,0.076,0.08,1
"DUSP2",0.911815059772493,0.483177995700144,0.237,0.248,1
"ENTPD1",0.91244753867622,1.15587083995949,0.018,0.019,1
"CD300A",0.922426986471679,0.672029674960171,0.027,0.026,1
"CD47-Cd47-AMM2224-pAbO",0.930880066909925,-0.112272462082516,0.009,0.01,1
"TGFA",0.930880066909925,-0.90800766187645,0.009,0.01,1
"CX3CR1",0.933584255399214,-0.475582022533947,0.009,0.01,1
"CCR9",0.941701296409232,1.57968298180762,0.009,0.01,1
"ITGA1",0.950018728260828,1.07766595343479,0.076,0.077,1
"NR3C1",0.955151689544593,-0.587256330508748,0.192,0.19,1
"CSF1",0.956358960453601,-0.213025682637088,0.013,0.013,1
"ITGAL",0.96139771461016,-0.474120884600334,0.054,0.055,1
"FURIN",0.96783611031967,-0.77381513132129,0.013,0.013,1
"GNAI2",0.993022907450998,0.815170009020361,0.085,0.087,1
"HAVCR2",0.99735486106147,0.980319402546223,0.022,0.023,1
"IKZF3",0.997715695493257,0.998939729381596,0.259,0.296,1
