"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"YBX3",0.178016530681045,0.434722178657591,0.163,0.132,1
"RORC",0.180208605376351,0.108593503034825,0.04,0.061,1
"MYB",0.187937724044665,0.457212798145292,0.142,0.109,1
"PRDM1",0.189836109817229,0.426555718921667,0.133,0.103,1
"CD300A",0.190374383698431,-1.0500723711431,0.013,0.026,1
"FURIN",0.193074405381079,0.460887571439246,0.027,0.013,1
"F5",0.194761337995501,-0.466623680572296,0.013,0.026,1
"CXCR6",0.20665296195658,0.443724660679974,0.123,0.093,1
"ADGRG1",0.212378840756284,1.55838363237821,0.011,0.023,1
"ADGRE1",0.222855741473663,-0.939464289168657,0.027,0.042,1
"CCND2",0.237889708891929,0.303428191353326,0.152,0.125,1
"XCL2",0.238015042543357,-1.12485516047304,0.032,0.048,1
"THEMIS",0.239045403460441,0.754269899665341,0.142,0.119,1
"IRF8",0.243274538291904,1.35469099104257,0.074,0.055,1
"CASP3",0.24348623661369,0.571664147954624,0.102,0.08,1
"MR1",0.246456809140668,0.778607413481049,0.025,0.013,1
"LTA",0.248939950892438,0.512199810276615,0.102,0.08,1
"IFNAR1",0.249276999209458,0.321087678149203,0.193,0.167,1
"VDR",0.256254920807315,2.63321358976022,0.015,0.006,1
"AREG",0.265311139246317,-3.7919412971634,0.006,0.013,1
"CSF1",0.270160655473494,-1.10337697619427,0.006,0.013,1
"CBLB",0.274629669309993,-0.257685854742745,0.403,0.473,1
"CCL3",0.275057474482732,0.457181426921945,0.055,0.074,1
"ICAM1",0.276403351756991,0.486185050619257,0.059,0.042,1
"IFITM1",0.277409905505119,0.229258803005434,0.506,0.498,1
"PTPN22",0.279821208933025,-0.394520772966673,0.227,0.193,1
"LYN",0.282198984379185,1.0110259785157,0.036,0.023,1
"TMEM97",0.28855363111514,0.372174586992053,0.044,0.029,1
"CD47-Cd47-AMM2224-pAbO",0.289743792973675,-0.114998701589458,0.004,0.01,1
"TNFRSF9",0.29075293353582,1.59380964971749,0.004,0.01,1
"FCER1G",0.293133289861911,1.29698867504065,0.019,0.01,1
"IKZF3",0.296048138616169,0.215645950302581,0.244,0.296,1
"NR4A3",0.309691378414267,-1.14226475461049,0.021,0.032,1
"NFKBIA",0.322353186830064,1.93507830590216,0.042,0.029,1
"NOTCH1",0.326569402861075,1.02772960389153,0.091,0.074,1
"IL17F",0.32979338049342,3.55822133279449,0.057,0.042,1
"CCL5",0.344586288450004,0.391301199127517,0.492,0.55,1
"LGALS1",0.350808404200128,0.149585082771201,0.129,0.109,1
"GZMB",0.353592193370712,1.34394549177495,0.242,0.225,1
"TCF7",0.36136066234067,0.159473571915208,0.019,0.029,1
"FYB",0.365620915731756,0.15098311188626,0.409,0.389,1
"CST7",0.369358944443472,0.2126279039624,0.312,0.35,1
"RUNX3",0.377182664644217,0.40694174246139,0.523,0.547,1
"CNOT2",0.377942546651244,0.103941256598327,0.294,0.277,1
"CXCL10",0.378937848745646,1.75953063409704,0.017,0.01,1
"REL",0.383086458891968,0.238277225782888,0.146,0.129,1
"CASP1",0.383860568611061,0.146572573227801,0.354,0.334,1
"BTG2",0.384522490425601,0.348277890395196,0.309,0.293,1
"ISG15",0.393490345121445,0.116786820055188,0.311,0.286,1
"STAT3",0.393692064539094,0.593929478025159,0.331,0.334,1
"IL26",0.395646388514471,2.1659071130228,0.021,0.013,1
"FYN",0.39596471855303,0.14463689849215,0.708,0.759,1
"JUN",0.396001328355669,-0.201667597939662,0.121,0.141,1
"RUNX1",0.405367968678117,0.245287248625539,0.047,0.035,1
"IL12A",0.405715802557216,0.27999379898217,0.025,0.016,1
"IL23A",0.405715802557216,0.713849617239235,0.025,0.016,1
"CD37",0.412862670918878,0.147092696777233,0.553,0.563,1
"BIRC3",0.413225011917624,0.42654247048003,0.426,0.437,1
"CD7",0.414123538853531,-0.176724109058482,0.083,0.103,1
"SELPLG",0.418834447384327,0.423240071209677,0.451,0.457,1
"CCR6",0.42461125645052,-0.161579556242959,0.04,0.051,1
"ZEB2",0.427896852806372,0.492824964690283,0.042,0.055,1
"CCR2",0.429722204337435,-1.39997695055303,0.015,0.023,1
"BATF",0.452743990745616,0.205438329587087,0.182,0.164,1
"IL18",0.458236188110939,0.56093915887043,0.042,0.032,1
"GIMAP2",0.467987205578086,0.219283318524707,0.578,0.608,1
"NINJ2",0.471950071637183,2.59273555401555,0.011,0.006,1
"PTTG2",0.476479416475507,-0.33096682478274,0.032,0.042,1
"GZMH",0.476556462559245,1.88565522647515,0.034,0.026,1
"LTB",0.477897995241106,0.749071119565545,0.045,0.035,1
"NFATC1",0.479160112397784,0.427433984876829,0.091,0.077,1
"DDX58",0.483776090722817,0.494249245049202,0.182,0.17,1
"TIAF1",0.487455696841209,-0.165079041131356,0.038,0.048,1
"USP18",0.49369584216994,-0.620620519919847,0.157,0.174,1
"TGFA",0.496250806506208,1.20834334426735,0.015,0.01,1
"CXCL16",0.500188399038655,-1.32790758581446,0.013,0.019,1
"IL21R",0.501233961921345,0.376623915273264,0.032,0.042,1
"CHI3L2",0.502023106661362,0.370382694119512,0.062,0.051,1
"IRF4",0.502560058284911,1.11067726018751,0.112,0.1,1
"NFKB2",0.509807714704024,-0.125772253516661,0.027,0.019,1
"NR1D1",0.510656704074627,-1.1173484061884,0.006,0.01,1
"CX3CR1",0.513257673436873,0.549612977401233,0.006,0.01,1
"BCL2L1",0.51456074041894,0.22881980705423,0.006,0.01,1
"CCR9",0.517172023713562,0.912072814023573,0.006,0.01,1
"CD40LG",0.517664607458862,-0.118398037909183,0.019,0.026,1
"HLA-DMA",0.518050912870759,-0.148516570614348,0.059,0.071,1
"FOXP3",0.520723050828743,0.140732752544241,0.03,0.039,1
"AIM2",0.534961362799063,0.451478828489036,0.025,0.032,1
